title,category,days_to_trend,archetype,confidence,timing,recommendation
Bankroll Mafia - My Bros (Audio),Music,3595,Legacy Evergreen,63/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Bankroll Mafia - Hundreds on 'Em (Audio),Music,3595,Legacy Evergreen,65/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Bankroll Mafia - WCW (Audio),Music,3595,Legacy Evergreen,48/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"Bankroll Mafia - Mafia, Mafia (Audio)",Music,3595,Legacy Evergreen,60/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"Bankroll Mafia - Smoke Tree ft. T.I., Shad Da God, London Jae",Music,3596,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Bankroll Mafia - Bankroll Mafia Life (Episode 1),Music,3597,Legacy Evergreen,68/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"Bankroll Mafia ft. T.I., Shad Da God, Young Thug, London Jae - Out My Face (Official Video)",Music,3600,Legacy Evergreen,91/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Money Talk,Music,3652,Legacy Evergreen,80/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Peanut Butter Jelly (Official Video) ft. Young Thug, Young Dro",Music,3750,Legacy Evergreen,84/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mediocre (Clean) ft. Iggy Azalea,Music,3775,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Broadcast Live (Official Video),Music,3806,Legacy Evergreen,81/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Check, Run It (Official Video)",Music,3820,Legacy Evergreen,81/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Ain't Gonna See It Coming (Audio),Music,3820,Legacy Evergreen,78/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Peanut Butter Jelly (Audio) ft. Young Thug, Young Dro",Music,3820,Legacy Evergreen,78/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Project Steps (Audio),Music,3820,Legacy Evergreen,76/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Broadcast Live (Official Audio),Music,3820,Legacy Evergreen,56/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Check, Run It (Official Lyric Video)",Music,3827,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"Bankroll Mafia - Bankrolls On Deck (Explicit) ft. T.I., Young Thug, Shad Da God",Music,3874,Legacy Evergreen,80/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Project Steps (Official Video),Music,3896,Legacy Evergreen,75/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Private Show (Official Video) ft. Chris Brown,Music,3936,Legacy Evergreen,83/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Private Show (Explicit) ft. Chris Brown,Music,3942,Legacy Evergreen,91/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Private Show (Audio) ft. Chris Brown,Music,4017,Legacy Evergreen,84/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - G' Shit (Official Video) ft. Jeezy, WatchTheDuck",Music,4039,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - G' Shit (Extended Version) ft. Jeezy, WatchTheDuck",Music,4045,Legacy Evergreen,92/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - G' Shit - Behind The Scenes,Music,4045,Legacy Evergreen,47/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - G' Sh*t (Live on the Honda Stage at the iHeartRadio Theater LA),Music,4102,Legacy Evergreen,57/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - King (Live on the Honda Stage at the iHeartRadio Theater LA),Music,4102,Legacy Evergreen,42/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I Need War ft. Young Thug,Music,4111,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Paperwork (Live on the Honda Stage at the iHeartRadio Theater LA),Music,4121,Legacy Evergreen,54/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mediocre (Live on the Honda Stage at the iHeartRadio Theater LA),Music,4121,Legacy Evergreen,54/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - About The Money (Live on the Honda Stage at the iHeartRadio Theater LA),Music,4121,Legacy Evergreen,77/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - What To Expect From PAPERWORK (247HH Exclusive),Music,4143,Legacy Evergreen,55/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Going Away To Jail 'All White' Party (247HH Exclusive),Music,4143,Legacy Evergreen,32/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - King (Video),Music,4145,Legacy Evergreen,96/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - New National Anthem (Lyric Video) ft. Skylar Grey,Music,4146,Legacy Evergreen,74/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - T.I. Paperwork Track by Track,Music,4151,Legacy Evergreen,55/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Paperwork (Audio) ft. Pharrell,Music,4159,Legacy Evergreen,62/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - New National Anthem (Audio) ft. Skylar Grey,Music,4173,Legacy Evergreen,68/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mediocre - Behind The Scenes ft. Iggy Azalea,Music,4209,Legacy Evergreen,57/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mediocre ft. Iggy Azalea,Music,4269,Legacy Evergreen,96/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mediocre (Audio) ft. Iggy Azalea,Music,4272,Legacy Evergreen,54/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - About The Money ft. Young Thug,Music,4286,Legacy Evergreen,96/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Turn It,Music,4303,Legacy Evergreen,86/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Way We Ride (Explicit),Music,4503,Legacy Evergreen,86/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Way We Ride (Clean),Music,4503,Legacy Evergreen,58/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Memories Back Then (Clean) ft. B.o.B., Kendrick Lamar, Kris Stephens",Music,4524,Legacy Evergreen,95/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. America's Most Wanted Tour VIP pass,Music,4606,Legacy Evergreen,44/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Problems  ft. B.o.B, Problem, Trae Tha Truth",Music,4611,Legacy Evergreen,62/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Hello ft. CeeLo Green [Official Video],Music,4662,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Wit Me ft. Lil Wayne,Music,4663,Legacy Evergreen,72/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Wit Me ft. Lil Wayne (Explicit) (Official Music Video),Music,4663,Legacy Evergreen,71/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. Featuring Lil Wayne 'Wit Me' (Exclusive Music Video Preview),Music,4667,Legacy Evergreen,13/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Memories Back Then ft. B.o.B., Kendrick Lamar",Music,4692,Legacy Evergreen,93/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Short Film 'Addresses',Music,4731,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Short Film 'Addresses' (Trailer),Music,4738,Legacy Evergreen,68/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - 'Trouble Man: Heavy Is The Head' Available Now!,Music,4817,Legacy Evergreen,73/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Way We Ride [Official Audio],Music,4817,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Guns and Roses ft. P!nk [Official Audio],Music,4817,Legacy Evergreen,87/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Hallelujah [Official Audio],Music,4817,Legacy Evergreen,74/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Who Want Some [Official Audio],Music,4817,Legacy Evergreen,75/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Addresses [Official Audio],Music,4817,Legacy Evergreen,73/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Wonderful Life ft. Akon [Official Audio],Music,4817,Legacy Evergreen,72/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Cruisin' [Official Audio],Music,4817,Legacy Evergreen,79/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. -  Can You Learn ft. R Kelly [Official Audio],Music,4817,Legacy Evergreen,90/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - G Season ft. Meek Mill [Official Audio],Music,4817,Legacy Evergreen,83/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - The Introduction [Official Audio],Music,4817,Legacy Evergreen,93/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Wildside ft. A$AP Rocky [Official Audio],Music,4821,Legacy Evergreen,84/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Trap Back Jumpin (Music Video/Short Film),Music,4823,Legacy Evergreen,86/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Hello ft. CeeLo Green [Official Audio],Music,4824,Legacy Evergreen,84/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Trap Back Jumpin' (Trailer),Music,4830,Legacy Evergreen,47/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Dead & Gone ft. Justin Timberlake [Official Video],Music,4836,Legacy Evergreen,93/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Sorry ft. André 3000 [Official Audio],Music,4838,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Countdown To Trouble Man: Heavy Is The Head - Trap Back Jumpin,Music,4851,Legacy Evergreen,26/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Election Day Message From T.I. - #TroubleTuesdays,Music,4859,Legacy Evergreen,20/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Ball ft. Lil Wayne [Official Video],Music,4873,Legacy Evergreen,95/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Love This Life [Official Video],Music,5004,Legacy Evergreen,71/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Like That [Official Audio],Music,5034,Legacy Evergreen,39/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Love This Life [Official Audio],Music,5077,Legacy Evergreen,36/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Here Ye, Hear Ye ft. Sk8brd [Official Video]",Music,5188,Legacy Evergreen,40/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I'm Flexin ft. BIG K.R.I.T [Official Video],Music,5227,Legacy Evergreen,77/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - Here Ye, Hear Ye ft. Sk8brd [Official Audio]",Music,5242,Legacy Evergreen,37/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I'm Flexin ft. BIG K.R.I.T. [Official Audio],Music,5262,Legacy Evergreen,43/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - We Don't Get Down Like Y'all ft. B.o.B [Official Audio],Music,5354,Legacy Evergreen,64/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Happy Mother's Day From T.I.,Music,5409,Legacy Evergreen,31/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I'm Serious (Official Music Video) ft. Beenie Man,Music,5453,Legacy Evergreen,92/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Lay Me Down ft. Rico Love [Official Video],Music,5509,Legacy Evergreen,71/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Seasons Greetings From T.I.,Music,5553,Legacy Evergreen,24/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Diddy & Nelly Hold Down T.I.,Music,5556,Legacy Evergreen,10/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Pledge Allegiance ft. Rick Ross [Official Video],Music,5558,Legacy Evergreen,83/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mercy ft. The-Dream [Official Video],Music,5560,Legacy Evergreen,70/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Welcome To The World ft. Kanye West & Kid Cudi [Lyric Video],Music,5564,Legacy Evergreen,61/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I Can't Help It ft. Rocko [Official Video],Music,5566,Legacy Evergreen,74/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Castle Walls ft. Christina Aguilera [Exclusive Sneak Peak],Music,5573,Legacy Evergreen,30/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Mercy Features...,Music,5579,Legacy Evergreen,11/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - NO MERCY PT.2,Music,5581,Legacy Evergreen,17/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - NO MERCY PT.1,Music,5585,Legacy Evergreen,19/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Young Dro takes a look at T.I.'s 'No Mercy' album artwork.,Music,5585,Legacy Evergreen,20/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Get Back Up ft. Chris Brown [Official Video],Music,5593,Legacy Evergreen,78/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Get Back Up ft. Chris Brown [Official Audio],Music,5609,Legacy Evergreen,47/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Yeah Ya Know (Live at AXE Music One Night Only),Music,5664,Legacy Evergreen,33/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. ft. Keri Hilson - Got Your Back (Live at AXE Music One Night Only),Music,5664,Legacy Evergreen,37/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Whatever You Like (Live at AXE Music One Night Only),Music,5664,Legacy Evergreen,78/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. ft. Swizz Beatz - Swing Ya Rag (Live at AXE Music One Night Only),Music,5664,Legacy Evergreen,82/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Got Your Back ft. Keri Hilson [Official Video],Music,5693,Legacy Evergreen,97/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
REMY Cointreau Welcomes  T.I. Global Creative Consultant,Music,5698,Legacy Evergreen,16/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.i. - King Uncaged (Preview),Music,5735,Legacy Evergreen,37/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Jamie Foxx Interviews T.I. (Part 4),Music,5756,Legacy Evergreen,33/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Jamie Foxx Interviews T.I. (Part 3),Music,5756,Legacy Evergreen,28/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Jamie Foxx Interviews T.I. (Part 1),Music,5756,Legacy Evergreen,37/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Jamie Foxx Interviews T.I. (Part 2),Music,5756,Legacy Evergreen,33/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - I'm Back [Official Video],Music,5784,Legacy Evergreen,79/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. 'I'm Back' Teaser # 2,Music,5787,Legacy Evergreen,19/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
'I'm Back' Teaser # 1,Music,5790,Legacy Evergreen,8/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Exclusive Interview with T.I.,Music,5809,Legacy Evergreen,10/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - No Matter What [Official Video],Music,5963,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - 24's [Official Video],Music,5963,Legacy Evergreen,91/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. - What Up, What's Haapnin' [Official Video]",Music,5963,Legacy Evergreen,70/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - You Know What It Is [Entourage Version],Music,5965,Legacy Evergreen,44/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Hurt ft. Alfamega & Busta Rhymes [Official Video],Music,5965,Legacy Evergreen,90/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - You Know What It Is ft. Wyclef [Official Video],Music,5965,Legacy Evergreen,75/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #6'Do As Your Told',Music,5965,Legacy Evergreen,15/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Be Easy [Official Video],Music,5965,Legacy Evergreen,90/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - U Don't Know Me [Official Video],Music,5965,Legacy Evergreen,88/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #10'Respect This Hustle',Music,5965,Legacy Evergreen,15/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Big Things Poppin' (Do It) [Official Video],Music,5965,Legacy Evergreen,86/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Live In The Sky ft. Jamie Foxx [Official Video],Music,5965,Legacy Evergreen,87/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Front Back ft. UGK [Official Video],Music,5965,Legacy Evergreen,75/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Rubber Band Man (BET Edit Video),Music,5965,Legacy Evergreen,43/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Let's Get Away [Official Video],Music,5965,Legacy Evergreen,85/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #4'What's Beef?',Music,5965,Legacy Evergreen,26/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Why You Wanna [Official Video],Music,5965,Legacy Evergreen,74/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Bring Em Out [Official Video],Music,5965,Legacy Evergreen,90/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - ASAP [Official Video],Music,5965,Legacy Evergreen,83/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #9 'Two Different',Music,5965,Legacy Evergreen,26/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #5'Jealous Ones Still Envy',Music,5965,Legacy Evergreen,29/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #8 'TIP Got Hits',Music,5965,Legacy Evergreen,17/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - #7 'Who Runs This?',Music,5965,Legacy Evergreen,17/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Hell Of A Life [Official Video],Music,5966,Legacy Evergreen,69/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Myspace Show - '56 Bars' & 'What's Up What's Haapnin'',Music,6307,Legacy Evergreen,17/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. Votes Early,Music,6327,Legacy Evergreen,11/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Live Your Life ft. Rihanna [Official Video],Music,6330,Legacy Evergreen,94/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Big Kuntry King on 'Live Your Life' Set,Music,6351,Legacy Evergreen,10/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
StreetCred.com: T.I.'s Birthday Party,Music,6355,Legacy Evergreen,31/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
PAPER TRAIL - In Stores & Online Now!,Music,6357,Legacy Evergreen,11/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - Dead & Gone ft. Justin Timberlake (Teaser),Music,6364,Legacy Evergreen,70/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
T.I. - How I Got On,Music,6364,Legacy Evergreen,27/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
"T.I. -  Behind the Scenes - 'What Up, What's Haapnin''",Music,6365,Legacy Evergreen,57/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Big Kuntry King - In The Studio - 'We Here',Music,6379,Legacy Evergreen,18/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
Pre-Order PAPER TRAIL Now,Music,6398,Legacy Evergreen,11/100,Evergreen topic — publish whenever you're ready.,"Strong buy — high view ceiling, long relevance window. Publish whenever ready."
